EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
26560;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;10481,46;10481,46;13634,72;-1755,2;MANUFACTURA
158827;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;7;424560,49;18521,94;1310425,61;-1782,72;MANUFACTURA
140816;ANÓNIMA;SIERRA;AZUAY;CUENCA;MICROEMPRESA;SOCIETARIO;6;49599,78;-231549,75;0;-1805,66;MANUFACTURA
6450;ANÓNIMA;SIERRA;AZUAY;CUENCA;PEQUEÑA;SOCIETARIO;16;607125,32;49661,57;908641,71;-1821,53;MANUFACTURA
30808;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;MICROEMPRESA;SOCIETARIO;5;43751,57;27064,67;47449,05;-1826,08;MANUFACTURA
718666;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;MICROEMPRESA;SOCIETARIO;4;23593,93;-1430,62;0;-1830,62;MANUFACTURA
61879;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;PEQUEÑA;SOCIETARIO;17;309013,3;252318,43;348187,42;-1835,61;MANUFACTURA
171037;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;3;32215,09;15863,48;28925,4;-1855,53;MANUFACTURA
183199;RESPONSABILIDAD LIMITADA;SIERRA;TUNGURAHUA;AMBATO;MICROEMPRESA;SOCIETARIO;4;9479,87;6682,43;2232,14;-1871,68;MANUFACTURA
145862;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;1108;-897,7;0;-1897,7;MANUFACTURA
75366;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;443531,75;406316,83;0;-1898,17;MANUFACTURA
163065;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;3;74771,03;1244,48;120096,44;-1908,3;MANUFACTURA
58473;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;7;252034,43;252034,43;0;-1922,18;MANUFACTURA
309463;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;8;1424,75;-7205,25;26825,66;-1925,43;MANUFACTURA
